year,herbicide,rep,control
2014,A,1,0.99
2014,A,2,0.99
2014,A,3,0.99
2014,B,1,0.95
2014,B,2,0.99
2014,B,3,0.8
2014,C,1,0.95
2014,C,2,0.85
2014,C,3,0.9
2014,D,1,0.5
2014,D,2,0.6
2014,D,3,0.5
2014,E,1,0.9
2014,E,2,0.85
2014,E,3,0.8
